#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,3,10,50,79,3.4,4.5,1.6,14.81,11.73,281,1020.9,11.5,12.6,999,99,99
2013,1,3,11,50,105,3.4,4.4,1.83,16,12.22,283,1020.7,11.4,12.6,999,99,99
2013,1,3,12,50,127,1,1.7,1.73,14.81,11.31,289,1021,11.4,12.5,999,99,99
2013,1,3,13,50,154,0.8,1.6,1.84,13.79,11.61,284,1021.1,11.3,12.5,999,99,99
2013,1,3,14,50,97,2.4,3.4,1.71,13.79,10.7,291,1021.3,11.4,12.5,999,99,99
2013,1,3,15,50,113,2.4,3.3,1.76,14.81,11.41,278,1021.8,11.4,12.4,999,99,99
2013,1,3,16,50,157,0.9,1.9,1.86,14.81,11.34,282,1022.7,12.3,12.4,999,99,99
2013,1,3,17,50,136,1,2.1,1.98,14.81,11.26,279,1023.3,12.6,12.6,999,99,99
2013,1,3,18,50,326,0.2,0.9,2.02,13.79,11.15,294,1023.7,12.9,12.5,999,99,99
2013,1,3,19,50,304,1.4,2.4,2.52,14.81,12.13,284,1023.2,12,12.9,999,99,99
2013,1,3,20,50,332,2.9,3.7,2.71,13.79,11.84,282,1022.7,12.1,12.9,999,99,99
2013,1,3,21,50,7,3.4,4.3,3.19,12.9,11.11,287,1022.6,11.5,12.8,999,99,99
2013,1,3,22,50,30,4,5.1,2.73,14.81,10.5,294,1022.5,12,12.8,999,99,99
2013,1,3,23,50,345,2.6,3.8,2.93,13.79,10.21,288,1023.1,12.1,12.8,999,99,99
2013,1,4,0,50,333,4.1,5.3,3.18,12.9,10.42,284,1023.5,12,12.8,999,99,99
2013,1,4,1,50,330,4.7,5.8,3.12,13.79,9.95,294,1023.7,12.2,12.8,999,99,99
2013,1,4,2,50,329,4.7,6,2.76,13.79,9.8,282,1024,12.1,12.7,999,99,99
2013,1,4,3,50,325,5.3,6.4,2.78,14.81,9.78,282,1024.2,11.8,12.8,999,99,99
2013,1,4,4,50,337,4.6,5.6,3.02,13.79,10.37,282,1024.3,11.8,12.9,999,99,99
2013,1,4,5,50,343,5.3,6.4,2.67,13.79,9.99,283,1024.4,11.9,12.9,999,99,99
2013,1,4,6,50,344,4.7,5.7,3.27,13.79,10.47,285,1024.7,11.5,12.7,999,99,99
2013,1,4,7,50,354,5.6,6.6,3.31,13.79,10.86,292,1024.3,11.5,12.7,999,99,99
2013,1,4,8,50,351,5.4,6.3,3.12,12.12,10.22,281,1024.1,11.2,12.8,999,99,99
2013,1,4,9,50,353,6.3,7.1,2.94,12.9,10.3,283,1023.8,11.2,13,999,99,99
2013,1,4,10,50,343,6.1,7.3,3.47,12.9,10.4,287,1023.8,11.1,13,999,99,99
2013,1,4,11,50,349,7,8.1,3.1,12.12,9.82,279,1023.8,10.9,12.9,999,99,99
2013,1,4,12,50,357,7.6,9.1,3.11,12.9,9.35,292,1023.2,10.9,12.9,999,99,99
2013,1,4,13,50,359,7.4,9,3.47,12.12,9.65,286,1023.6,10.8,12.9,999,99,99
2013,1,4,14,50,10,7.5,9.4,2.96,12.12,8.86,300,1023.7,10.6,12.9,999,99,99
2013,1,4,15,50,28,6.8,8.3,3.13,12.12,8.74,288,1023.8,10.5,12.9,999,99,99
2013,1,4,16,50,10,4.7,5.8,2.75,10.81,8.3,276,1024.6,11.4,12.9,999,99,99
2013,1,4,17,50,56,4.4,5.5,2.67,12.9,8.58,297,1024.8,11.5,12.9,999,99,99
2013,1,4,18,50,96,2.3,4,2.77,11.43,8.92,292,1024.7,12,12.9,999,99,99
2013,1,4,19,50,127,2,3.4,2.64,11.43,8.83,301,1023.9,12.2,12.9,999,99,99
2013,1,4,20,50,108,1.5,2.7,2.57,12.9,9.03,300,1023.3,12.1,13,999,99,99
2013,1,4,21,50,22,3.9,4.8,2.31,12.12,8.89,296,1022.5,11.5,13.1,999,99,99
2013,1,4,22,50,22,3.3,4.2,2.42,10.81,8.97,305,1022.4,12.1,13,999,99,99
2013,1,4,23,50,19,4.5,5.4,2.23,13.79,8.65,295,1022.2,12.2,13,999,99,99
2013,1,5,0,50,41,2.5,3.4,2.33,10.81,8.68,307,1022.2,12.4,13,999,99,99
2013,1,5,1,50,113,1,2,2.31,12.12,8.6,295,1022.4,12.2,13,999,99,99
2013,1,5,2,50,53,0.6,1.6,2.27,12.12,8.87,295,1022.8,12.2,13,999,99,99
2013,1,5,3,50,18,3.2,4.1,2.34,12.12,8.72,311,1022.9,12.1,13,999,99,99
2013,1,5,4,50,17,3.3,3.9,2.23,12.9,9.15,289,1023,11.9,13.1,999,99,99
2013,1,5,5,50,46,1.5,2.3,2.45,12.9,9.45,289,1023.2,11.8,13.1,999,99,99
2013,1,5,6,50,150,2.4,3.6,2.15,13.79,9.11,274,1023.4,12,13.1,999,99,99
2013,1,5,7,50,184,3.9,4.8,2.16,11.43,9.21,284,1023.3,12.1,13.1,999,99,99
2013,1,5,8,50,169,4.5,5.6,2.17,13.79,9.68,275,1023.1,11.9,13.1,999,99,99
2013,1,5,9,50,168,4.3,5.4,2.13,10.81,9.39,288,1023.1,11.8,12.7,999,99,99
2013,1,5,10,50,201,4.4,5.4,2.25,13.79,9.42,268,1023.6,11.7,12.7,999,99,99
2013,1,5,11,50,210,5.1,6.2,2.38,13.79,9.44,275,1023.4,11.7,13.1,999,99,99
2013,1,5,12,50,199,4.1,5.2,2.16,11.43,9.07,289,1023.6,11.8,13.1,999,99,99
2013,1,5,13,50,186,5.4,6.3,2.13,12.9,8.66,286,1023.5,12.1,13.1,999,99,99
2013,1,5,14,50,204,4.5,5.4,2.15,13.79,8.44,274,1023.8,12,13,999,99,99
2013,1,5,15,50,178,4.7,5.9,2.05,13.79,8.29,285,1024,12.2,13,999,99,99
2013,1,5,16,50,172,6,7.1,1.84,10.81,7.74,279,1024,12.5,13.1,999,99,99
2013,1,5,17,50,154,8.5,10.4,1.77,12.9,7.14,291,1022.9,12.4,13,999,99,99
2013,1,5,18,50,170,7.8,9.7,1.74,12.9,6.58,300,1023.4,12.5,13.1,999,99,99
2013,1,5,19,50,152,7.5,9,1.62,12.9,6.44,275,1022.4,11.5,13.1,999,99,99
2013,1,5,20,50,154,8,9.4,1.58,12.9,6.15,279,1021.6,11.4,13.1,999,99,99
2013,1,5,21,50,178,9.9,12.2,1.65,12.9,5.7,287,1020.2,11.3,12.9,999,99,99
2013,1,5,22,50,165,9.9,11.6,1.72,12.9,5.61,285,1019.4,10.9,12.8,999,99,99
2013,1,5,23,50,166,9.9,12.6,1.86,12.12,5.66,266,1019.2,10.9,13,999,99,99
2013,1,6,0,50,231,6.6,8.3,1.8,11.43,5.28,272,1019.2,11.1,13,999,99,99
2013,1,6,1,50,262,6,7.3,1.97,12.9,6.38,289,1018.9,11.2,12.9,999,99,99
2013,1,6,2,50,270,7.1,8.8,1.89,12.12,6.24,267,1018.8,11.3,12.8,999,99,99
2013,1,6,3,50,267,6.4,8.3,2.16,12.9,6.83,288,1018.6,11.1,12.7,999,99,99
2013,1,6,4,50,255,7.7,9.4,2.12,13.79,6.76,282,1018.8,11.2,12.5,999,99,99
2013,1,6,5,50,276,5.8,8.6,2.29,13.79,6.71,289,1019.2,10.2,12.4,999,99,99
2013,1,6,6,50,264,9.5,11.5,2.39,11.43,6.26,285,1018.4,10.8,12.4,999,99,99
2013,1,6,7,50,273 1,1.6,14.2,2.65,13.79,6.19,291,1017.8,10.8,12.5,999,99,99
2013,1,6,8,50,293 1,4.7,19,3.27,7.14,6.36,286,1016.4,10.5,12.5,999,99,99
2013,1,6,9,50,284 1,3.7,16.4,4.13,8.33,7.21,291,1015.6,10.5,12.6,999,99,99
2013,1,6,10,50,1,7.1,8.8,3.13,8.33,7,292,1016.2,11.7,12.5,999,99,99
2013,1,6,11,50,22 1,1.7,14.1,2.59,12.9,6.55,284,1017.7,9.8,12.5,999,99,99
2013,1,6,12,50,352 1,1.6,13.5,2.71,12.9,6.33,300,1019.2,9.4,12.4,999,99,99
2013,1,6,13,50,1,6.5,8.2,2.41,12.9,6.58,287,1019.9,9.5,12.4,999,99,99
2013,1,6,14,50,349,7.6,8.9,2.85,8.33,7.27,283,1020.5,10.1,12.4,999,99,99
2013,1,6,15,50,333,4.4,5.5,2.86,9.09,7.69,277,1020.9,10.2,12.4,999,99,99
2013,1,6,16,50,323 1,0.3,12.1,3.12,14.81,7.96,303,1021.5,11.3,12.3,999,99,99
2013,1,6,17,50,326,9.5,11.6,3.58,14.81,8.12,318,1022.2,11.4,12.5,999,99,99
2013,1,6,18,50,329 1,0.2,12.1,4.16,14.81,8.34,312,1022.2,11.4,12.6,999,99,99
2013,1,6,19,50,348,8.4,10.4,4.12,14.81,8.56,312,1021.7,10.8,12.6,999,99,99
2013,1,6,20,50,329,9.6,12.6,4.23,14.81,8.68,314,1021.3,10.2,12.6,999,99,99
2013,1,6,21,50,327,8.8,10.5,3.78,14.81,8.26,306,1021.2,10.9,12.7,999,99,99
2013,1,6,22,50,339,8.6,11.2,4.1,14.81,8.72,286,1021.3,11.2,12.7,999,99,99
2013,1,6,23,50,338,9,11.1,3.98,13.79,8.49,293,1021.5,11.4,12.6,999,99,99
2013,1,7,0,50,326,9.5,11.3,3.63,13.79,8.04,285,1021.8,11.4,12.6,999,99,99
2013,1,7,1,50,318,9,10.9,3.54,14.81,8.23,306,1021.6,11.4,12.5,999,99,99
2013,1,7,2,50,324,8.6,10.3,3.54,13.79,7.95,304,1021.9,11.3,12.4,999,99,99
2013,1,7,3,50,317,8.9,11.2,3.41,12.9,8.06,292,1022.3,11.1,12.4,999,99,99
2013,1,7,4,50,321,8.7,10.4,3.75,13.79,8.57,296,1022.5,11.1,12.3,999,99,99
2013,1,7,5,50,315,9.6,11.4,3.13,13.79,7.59,293,1022.4,11.2,12.3,999,99,99
2013,1,7,6,50,320,9.6,11.2,3.43,13.79,7.83,305,1022.1,11.1,12.3,999,99,99
2013,1,7,7,50,329,9.4,11.1,3.63,13.79,8.28,303,1022.3,11.1,12.3,999,99,99
2013,1,7,8,50,327,9,11.2,3.19,13.79,7.5,295,1022.2,11.1,12.3,999,99,99
2013,1,7,9,50,324,9.3,11,3.41,12.9,8.04,304,1022,11.2,12.3,999,99,99
2013,1,7,10,50,316 1,1.3,13.2,3.25,12.9,8.01,302,1022.7,11.3,12.3,999,99,99
2013,1,7,11,50,321 1,0.3,12.5,3.4,13.79,8.16,304,1022.5,11.3,12.3,999,99,99
2013,1,7,12,50,314 1,1.6,14.3,3.24,13.79,7.83,293,1022.5,11.5,12.3,999,99,99
2013,1,7,13,50,316 1,0.9,12.8,2.99,12.9,7.89,313,1022.1,11.5,12.3,999,99,99
2013,1,7,14,50,311 1,1,13.5,3.17,13.79,7.92,295,1022.7,11.6,12.3,999,99,99
2013,1,7,15,50,316 1,0.4,12.5,3.15,14.81,7.89,306,1023.2,11.8,12.4,999,99,99
2013,1,7,16,50,317,9,10.6,3.04,14.81,7.71,298,1023.5,11.9,12.4,999,99,99
2013,1,7,17,50,325,7.3,9,3.02,12.9,7.56,313,1024.4,12.1,12.4,999,99,99
