Site,Slope #,Slope
AC,1,1.4
AC,2,7.9
AC,3,7.2
AC,4,1.4
AC,5,1.8
AP,1,1.4
AP,2,3.7
AP,3,2.6
AP,4,0.4
AP,5,1.8
FB,1,8.6
FB,2,9.6
FB,3,5.6
FB,4,6.2
FB,5,9.8
PC,1,2
PC,2,1.1
PC,3,2.2
PC,4,1.5
PC,5,1.6
TC,1,1.6
TC,2,3.6
TC,3,1.6
TC,4,2.4
TC,5,0.6
