Site,Year,Month,Week,Measurement,Date,wavetimeonly
AC,2013,August,Sampling Period 7,4,8/19/13,20.03
FB,2013,August,Sampling Period 6,1,8/6/13,20.06
FB,2013,July,Sampling Period 4,3,7/9/13,20.1
FB,2013,June,Sampling Period 3,5,6/23/13,20.25
TC,2013,July,Sampling Period 4,5,7/9/13,20.28
PC,2013,July,Sampling Period 5,5,7/25/13,20.28
AC,2013,August,Sampling Period 7,1,8/20/13,20.29
AC,2013,July,Sampling Period 5,5,7/24/13,20.31
AC,2013,August,Sampling Period 6,2,8/6/13,20.4
PC,2013,July,Sampling Period 4,4,7/11/13,20.41
AC,2013,July,Sampling Period 5,4,7/24/13,20.47
FB,2013,June,Sampling Period 3,3,6/23/13,20.62
AC,2013,August,Sampling Period 6,5,8/6/13,20.69
TC,2013,July,Sampling Period 5,1,7/22/13,20.81
AP,2013,August,Sampling Period 6,2,8/7/13,20.81
PC,2013,July,Sampling Period 4,5,7/11/13,20.93
FB,2013,June,Sampling Period 3,4,6/23/13,20.97
PC,2013,July,Sampling Period 4,1,7/11/13,20.97
PC,2013,July,Sampling Period 5,1,7/26/13,21
AC,2013,August,Sampling Period 6,5,8/7/13,21.07
FB,2013,May,Sampling Period 1,1,5/27/13,21.13
AC,2013,June,Sampling Period 2,1,6/11/13,21.16
AC,2013,August,Sampling Period 6,3,8/6/13,21.16
AC,2013,August,Sampling Period 6,1,8/6/13,21.19
FB,2013,August,Sampling Period 6,5,8/6/13,21.32
AC,2013,August,Sampling Period 6,2,8/7/13,21.43
AC,2013,August,Sampling Period 6,1,8/7/13,21.47
FB,2013,May,Sampling Period 1,3,5/26/13,21.71
AP,2013,August,Sampling Period 6,4,8/7/13,21.72
AC,2013,July,Sampling Period 5,3,7/24/13,21.84
AP,2013,August,Sampling Period 7,3,8/21/13,21.88
AC,2013,June,Sampling Period 2,4,6/11/13,21.91
FB,2013,June,Sampling Period 3,1,6/23/13,22
AC,2013,July,Sampling Period 4,1,7/10/13,22.03
AC,2013,August,Sampling Period 6,4,8/7/13,22.16
FB,2013,August,Sampling Period 6,3,8/6/13,22.18
AC,2013,June,Sampling Period 2,5,6/11/13,22.25
AC,2013,July,Sampling Period 4,4,7/10/13,22.5
AC,2013,June,Sampling Period 2,3,6/11/13,22.72
FB,2013,May,Sampling Period 1,5,5/27/13,22.75
AP,2013,August,Sampling Period 6,5,8/7/13,22.81
AC,2013,August,Sampling Period 6,3,8/7/13,22.82
AC,2013,August,Sampling Period 7,4,8/20/13,22.88
AC,2013,July,Sampling Period 4,3,7/10/13,22.9
AC,2013,July,Sampling Period 4,5,7/10/13,23.03
PC,2013,July,Sampling Period 4,3,7/11/13,23.06
TC,2013,July,Sampling Period 4,3,7/9/13,23.19
TC,2013,July,Sampling Period 5,4,7/22/13,23.19
AP,2013,August,Sampling Period 6,3,8/7/13,23.31
TC,2013,June,Sampling Period 3,5,6/24/13,23.43
PC,2013,June,Sampling Period 3,2,6/27/13,23.59
FB,2013,June,Sampling Period 3,1,6/24/13,23.6
AC,2013,July,Sampling Period 4,2,7/10/13,23.65
AC,2013,August,Sampling Period 6,4,8/6/13,23.65
TC,2013,June,Sampling Period 3,3,6/25/13,23.72
AC,2013,June,Sampling Period 2,2,6/11/13,23.88
TC,2013,July,Sampling Period 5,4,7/21/13,23.91
AP,2013,August,Sampling Period 7,4,8/21/13,24.15
FB,2013,June,Sampling Period 3,4,6/24/13,24.28
FB,2013,May,Sampling Period 1,5,5/26/13,24.44
TC,2013,July,Sampling Period 5,2,7/22/13,24.68
TC,2013,July,Sampling Period 5,5,7/22/13,24.75
FB,2013,June,Sampling Period 3,5,6/24/13,24.79
TC,2013,June,Sampling Period 3,1,6/24/13,24.93
TC,2013,June,Sampling Period 3,4,6/25/13,24.97
FB,2013,June,Sampling Period 3,2,6/24/13,25.06
TC,2013,June,Sampling Period 3,1,6/25/13,25.07
AP,2013,May,Sampling Period 1,1,5/30/13,25.09
TC,2013,July,Sampling Period 5,3,7/22/13,25.28
AP,2013,August,Sampling Period 7,4,8/22/13,25.31
TC,2013,June,Sampling Period 3,5,6/25/13,25.38
PC,2013,June,Sampling Period 3,5,6/27/13,25.44
AP,2013,August,Sampling Period 6,3,8/8/13,25.84
FB,2013,May,Sampling Period 1,2,5/26/13,25.88
FB,2013,May,Sampling Period 1,3,5/27/13,25.88
FB,2013,May,Sampling Period 1,4,5/27/13,26.02
PC,2013,June,Sampling Period 3,3,6/27/13,26.09
TC,2013,June,Sampling Period 3,4,6/24/13,26.43
AP,2013,August,Sampling Period 7,5,8/21/13,26.56
FB,2013,May,Sampling Period 1,1,5/26/13,26.8
AP,2013,July,Sampling Period 4,2,7/10/13,26.97
AP,2013,July,Sampling Period 4,1,7/10/13,27.07
AP,2013,August,Sampling Period 7,2,8/21/13,27.09
AC,2013,July,Sampling Period 5,1,7/24/13,27.16
AP,2013,May,Sampling Period 1,3,5/30/13,27.37
AC,2013,May,Sampling Period 1,2,5/27/13,27.4
PC,2013,June,Sampling Period 3,4,6/27/13,27.54
AC,2013,May,Sampling Period 1,5,5/28/13,27.56
AC,2013,June,Sampling Period 3,1,6/24/13,27.63
AP,2013,July,Sampling Period 4,4,7/10/13,27.72
FB,2013,May,Sampling Period 1,2,5/27/13,27.88
AC,2013,May,Sampling Period 1,5,5/27/13,27.97
AP,2013,July,Sampling Period 5,1,7/24/13,27.97
AP,2013,July,Sampling Period 4,3,7/10/13,28.19
FB,2013,June,Sampling Period 3,3,6/24/13,28.22
TC,2013,May,Sampling Period 1,3,5/27/13,28.25
AC,2013,May,Sampling Period 1,1,5/27/13,28.33
AP,2013,July,Sampling Period 5,5,7/24/13,28.35
TC,2013,June,Sampling Period 3,3,6/24/13,28.47
AP,2013,July,Sampling Period 4,2,7/11/13,28.47
AP,2013,May,Sampling Period 1,2,5/30/13,28.56
PC,2013,June,Sampling Period 3,2,6/28/13,28.69
AP,2013,August,Sampling Period 6,5,8/8/13,28.69
PC,2013,June,Sampling Period 3,1,6/27/13,28.91
FB,2013,May,Sampling Period 1,4,5/26/13,29.19
AP,2013,July,Sampling Period 4,1,7/11/13,29.19
AP,2013,August,Sampling Period 6,2,8/8/13,29.19
AP,2013,August,Sampling Period 7,3,8/22/13,29.22
AC,2013,May,Sampling Period 1,4,5/27/13,29.44
TC,2013,June,Sampling Period 3,2,6/24/13,29.47
PC,2013,July,Sampling Period 4,4,7/12/13,29.47
TC,2013,May,Sampling Period 1,4,5/27/13,29.72
TC,2013,June,Sampling Period 3,2,6/25/13,29.72
TC,2013,May,Sampling Period 1,5,5/27/13,29.93
PC,2013,July,Sampling Period 4,3,7/12/13,29.98
AP,2013,July,Sampling Period 4,5,7/11/13,30.06
AC,2013,May,Sampling Period 1,3,5/28/13,30.09
