Date ,Day,Time,Sampling period,Predicted (ft),Pred(cm),High/Low,Difference (ft),absval difference (ft)
2013/04/06,Sat,3:12 PM,NA,0.3,9,L,-5,5
2013/04/06,Sat,9:44 PM,NA,5.3,162,H,4.3,4.3
2013/04/07,Sun,3:52 AM,NA,1,30,L,-4.1,4.1
2013/04/07,Sun,9:45 AM,NA,5.1,155,H,4.6,4.6
2013/04/07,Sun,3:57 PM,NA,0.5,15,L,-5,5
2013/04/07,Sun,10:20 PM,NA,5.5,168,H,4.9,4.9
2013/04/08,Mon,4:38 AM,NA,0.6,18,L,-4.4,4.4
2013/04/08,Mon,10:39 AM,NA,5,152,H,4.2,4.2
2013/04/08,Mon,4:38 PM,NA,0.8,24,L,-4.8,4.8
2013/04/08,Mon,10:53 PM,NA,5.6,171,H,5.4,5.4
2013/04/09,Tue,5:19 AM,NA,0.2,6,L,-4.7,4.7
2013/04/09,Tue,11:29 AM,NA,4.9,149,H,3.8,3.8
2013/04/09,Tue,5:16 PM,NA,1.1,34,L,-4.6,4.6
2013/04/09,Tue,11:24 PM,NA,5.7,174,H,5.7,5.7
2013/04/10,Wed,5:58 AM,NA,0,0,L,-4.8,4.8
2013/04/10,Wed,12:17 PM,NA,4.8,146,H,3.3,3.3
2013/04/10,Wed,5:54 PM,NA,1.5,46,L,-4.1,4.1
2013/04/10,Wed,11:53 PM,NA,5.6,171,H,5.7,5.7
2013/04/11,Thu,6:36 AM,NA,-0.1,-3,L,-4.7,4.7
2013/04/11,Thu,1:03 PM,NA,4.6,140,H,2.8,2.8
2013/04/11,Thu,6:31 PM,NA,1.8,55,L,-3.7,3.7
2013/04/12,Fri,12:23 AM,NA,5.5,168,H,5.7,5.7
2013/04/12,Fri,7:13 AM,NA,-0.2,-6,L,-4.6,4.6
2013/04/12,Fri,1:49 PM,NA,4.4,134,H,2.2,2.2
2013/04/12,Fri,7:09 PM,NA,2.2,67,L,-3.2,3.2
2013/04/13,Sat,12:54 AM,NA,5.4,165,H,5.5,5.5
2013/04/13,Sat,7:52 AM,NA,-0.1,-3,L,-4.3,4.3
2013/04/13,Sat,2:37 PM,NA,4.2,128,H,1.7,1.7
2013/04/13,Sat,7:49 PM,NA,2.5,76,L,-2.7,2.7
2013/04/14,Sun,1:28 AM,NA,5.2,158,H,5.1,5.1
2013/04/14,Sun,8:33 AM,NA,0.1,3,L,-3.9,3.9
2013/04/14,Sun,3:29 PM,NA,4,122,H,1.3,1.3
2013/04/14,Sun,8:35 PM,NA,2.7,82,L,-2.3,2.3
2013/04/15,Mon,2:07 AM,NA,5,152,H,4.8,4.8
2013/04/15,Mon,9:19 AM,NA,0.2,6,L,-3.7,3.7
2013/04/15,Mon,4:27 PM,NA,3.9,119,H,0.9,0.9
2013/04/15,Mon,9:30 PM,NA,3,91,L,-1.7,1.7
2013/04/16,Tue,2:52 AM,NA,4.7,143,H,4.3,4.3
2013/04/16,Tue,10:11 AM,NA,0.4,12,L,-3.4,3.4
2013/04/16,Tue,5:30 PM,NA,3.8,116,H,0.8,0.8
2013/04/16,Tue,10:39 PM,NA,3,91,L,-1.5,1.5
2013/04/17,Wed,3:46 AM,NA,4.5,137,H,3.9,3.9
2013/04/17,Wed,11:09 AM,NA,0.6,18,L,-3.3,3.3
2013/04/17,Wed,6:30 PM,NA,3.9,119,H,0.9,0.9
2013/04/17,Wed,11:55 PM,NA,3,91,L,-1.3,1.3
2013/04/18,Thu,4:50 AM,NA,4.3,131,H,3.6,3.6
2013/04/18,Thu,12:09 PM,NA,0.7,21,L,-3.4,3.4
2013/04/18,Thu,7:20 PM,NA,4.1,125,H,1.4,1.4
2013/04/19,Fri,1:03 AM,NA,2.7,82,L,-1.4,1.4
2013/04/19,Fri,6:01 AM,NA,4.1,125,H,3.3,3.3
2013/04/19,Fri,1:05 PM,NA,0.8,24,L,-3.5,3.5
2013/04/19,Fri,8:01 PM,NA,4.3,131,H,2,2
2013/04/20,Sat,1:59 AM,NA,2.3,70,L,-1.8,1.8
2013/04/20,Sat,7:11 AM,NA,4.1,125,H,3.2,3.2
2013/04/20,Sat,1:55 PM,NA,0.9,27,L,-3.7,3.7
2013/04/20,Sat,8:35 PM,NA,4.6,140,H,2.9,2.9
2013/04/21,Sun,2:46 AM,NA,1.7,52,L,-2.5,2.5
2013/04/21,Sun,8:17 AM,NA,4.2,128,H,3.3,3.3
2013/04/21,Sun,2:40 PM,NA,0.9,27,L,-4,4
2013/04/21,Sun,9:07 PM,NA,4.9,149,H,3.8,3.8
2013/04/22,Mon,3:28 AM,NA,1.1,34,L,-3.3,3.3
2013/04/22,Mon,9:17 AM,NA,4.4,134,H,3.4,3.4
2013/04/22,Mon,3:21 PM,NA,1,30,L,-4.3,4.3
2013/04/22,Mon,9:39 PM,NA,5.3,162,H,4.8,4.8
2013/04/23,Tue,4:08 AM,NA,0.5,15,L,-4,4
2013/04/23,Tue,10:12 AM,NA,4.5,137,H,3.3,3.3
2013/04/23,Tue,4:01 PM,NA,1.2,37,L,-4.4,4.4
2013/04/23,Tue,10:12 PM,NA,5.6,171,H,5.7,5.7
2013/04/24,Wed,4:48 AM,NA,-0.1,-3,L,-4.7,4.7
2013/04/24,Wed,11:05 AM,NA,4.6,140,H,3.2,3.2
2013/04/24,Wed,4:41 PM,NA,1.4,43,L,-4.5,4.5
2013/04/24,Wed,10:47 PM,NA,5.9,180,H,6.6,6.6
2013/04/25,Thu,5:30 AM,NA,-0.7,-21,L,-5.4,5.4
2013/04/25,Thu,11:57 AM,NA,4.7,143,H,3.1,3.1
2013/04/25,Thu,5:23 PM,NA,1.6,49,L,-4.5,4.5
2013/04/25,Thu,11:24 PM,NA,6.1,186,H,7.2,7.2
2013/04/26,Fri,6:14 AM,NA,-1.1,-34,L,-5.8,5.8
2013/04/26,Fri,12:50 PM,NA,4.7,143,H,2.8,2.8
2013/04/26,Fri,6:06 PM,NA,1.9,58,L,-4.3,4.3
2013/04/27,Sat,12:05 AM,NA,6.2,189,H,7.5,7.5
2013/04/27,Sat,7:00 AM,NA,-1.3,-40,L,-5.9,5.9
2013/04/27,Sat,1:44 PM,NA,4.6,140,H,2.5,2.5
2013/04/27,Sat,6:54 PM,NA,2.1,64,L,-4,4
2013/04/28,Sun,12:50 AM,NA,6.1,186,H,7.4,7.4
2013/04/28,Sun,7:50 AM,NA,-1.3,-40,L,-5.8,5.8
2013/04/28,Sun,2:41 PM,NA,4.5,137,H,2.1,2.1
2013/04/28,Sun,7:47 PM,NA,2.4,73,L,-3.6,3.6
2013/04/29,Mon,1:39 AM,NA,6,183,H,7.1,7.1
2013/04/29,Mon,8:43 AM,NA,-1.1,-34,L,-5.6,5.6
2013/04/29,Mon,3:42 PM,NA,4.5,137,H,1.9,1.9
2013/04/29,Mon,8:49 PM,NA,2.6,79,L,-3,3
2013/04/30,Tue,2:35 AM,NA,5.6,171,H,6.4,6.4
2013/04/30,Tue,9:41 AM,NA,-0.8,-24,L,-5.3,5.3
2013/04/30,Tue,4:45 PM,NA,4.5,137,H,1.9,1.9
2013/04/30,Tue,10:04 PM,NA,2.6,79,L,-2.6,2.6
2013/05/01,Wed,3:38 AM,NA,5.2,158,H,5.7,5.7
2013/05/01,Wed,10:42 AM,NA,-0.5,-15,L,-5.2,5.2
2013/05/01,Wed,5:48 PM,NA,4.7,143,H,2.3,2.3
2013/05/01,Wed,11:27 PM,NA,2.4,73,L,-2.4,2.4
2013/05/02,Thu,4:51 AM,NA,4.8,146,H,4.9,4.9
2013/05/02,Thu,11:46 AM,NA,-0.1,-3,L,-5,5
2013/05/02,Thu,6:46 PM,NA,4.9,149,H,2.8,2.8
2013/05/03,Fri,12:47 AM,NA,2.1,64,L,-2.4,2.4
2013/05/03,Fri,6:09 AM,NA,4.5,137,H,4.2,4.2
2013/05/03,Fri,12:48 PM,NA,0.3,9,L,-4.8,4.8
2013/05/03,Fri,7:38 PM,NA,5.1,155,H,3.6,3.6
2013/05/04,Sat,1:56 AM,NA,1.5,46,L,-2.8,2.8
2013/05/04,Sat,7:28 AM,NA,4.3,131,H,3.7,3.7
2013/05/04,Sat,1:45 PM,NA,0.6,18,L,-4.7,4.7
2013/05/04,Sat,8:23 PM,NA,5.3,162,H,4.3,4.3
2013/05/05,Sun,2:54 AM,NA,1,30,L,-3.3,3.3
2013/05/05,Sun,8:41 AM,NA,4.3,131,H,3.4,3.4
2013/05/05,Sun,2:36 PM,NA,0.9,27,L,-4.6,4.6
2013/05/05,Sun,9:03 PM,NA,5.5,168,H,5.1,5.1
2013/05/06,Mon,3:43 AM,NA,0.4,12,L,-3.9,3.9
2013/05/06,Mon,9:44 AM,NA,4.3,131,H,3,3
2013/05/06,Mon,3:23 PM,NA,1.3,40,L,-4.3,4.3
2013/05/06,Mon,9:40 PM,NA,5.6,171,H,5.6,5.6
2013/05/07,Tue,4:27 AM,NA,0,0,L,-4.3,4.3
2013/05/07,Tue,10:41 AM,NA,4.3,131,H,2.7,2.7
2013/05/07,Tue,4:06 PM,NA,1.6,49,L,-4.1,4.1
2013/05/07,Tue,10:13 PM,NA,5.7,174,H,6,6
2013/05/08,Wed,5:06 AM,NA,-0.3,-9,L,-4.7,4.7
2013/05/08,Wed,11:31 AM,NA,4.4,134,H,2.5,2.5
2013/05/08,Wed,4:47 PM,NA,1.9,58,L,-3.8,3.8
2013/05/08,Wed,10:44 PM,NA,5.7,174,H,6.2,6.2
2013/05/09,Thu,5:43 AM,NA,-0.5,-15,L,-4.8,4.8
2013/05/09,Thu,12:18 PM,NA,4.3,131,H,2.2,2.2
2013/05/09,Thu,5:26 PM,NA,2.1,64,L,-3.5,3.5
2013/05/09,Thu,11:14 PM,NA,5.6,171,H,6.2,6.2
2013/05/10,Fri,6:17 AM,NA,-0.6,-18,L,-4.9,4.9
2013/05/10,Fri,1:02 PM,NA,4.3,131,H,1.9,1.9
2013/05/10,Fri,6:05 PM,NA,2.4,73,L,-3.1,3.1
2013/05/10,Fri,11:45 PM,NA,5.5,168,H,6.1,6.1
2013/05/11,Sat,6:52 AM,NA,-0.6,-18,L,-4.8,4.8
2013/05/11,Sat,1:45 PM,NA,4.2,128,H,1.6,1.6
2013/05/11,Sat,6:44 PM,NA,2.6,79,L,-2.8,2.8
2013/05/12,Sun,12:17 AM,NA,5.4,165,H,5.9,5.9
2013/05/12,Sun,7:27 AM,NA,-0.5,-15,L,-4.7,4.7
2013/05/12,Sun,2:28 PM,NA,4.2,128,H,1.4,1.4
2013/05/12,Sun,7:25 PM,NA,2.8,85,L,-2.4,2.4
2013/05/13,Mon,12:53 AM,NA,5.2,158,H,5.6,5.6
2013/05/13,Mon,8:05 AM,NA,-0.4,-12,L,-4.5,4.5
2013/05/13,Mon,3:12 PM,NA,4.1,125,H,1.2,1.2
2013/05/13,Mon,8:10 PM,NA,2.9,88,L,-2.1,2.1
2013/05/14,Tue,1:32 AM,Sampling period 1,5,152,H,5.2,5.2
2013/05/14,Tue,8:45 AM,Sampling period 1,-0.2,-6,L,-4.3,4.3
2013/05/14,Tue,3:57 PM,Sampling period 1,4.1,125,H,1.1,1.1
2013/05/14,Tue,9:03 PM,Sampling period 1,3,91,L,-1.7,1.7
2013/05/15,Wed,2:16 AM,Sampling period 1,4.7,143,H,4.6,4.6
2013/05/15,Wed,9:28 AM,Sampling period 1,0.1,3,L,-4,4
2013/05/15,Wed,4:44 PM,Sampling period 1,4.1,125,H,1.1,1.1
2013/05/15,Wed,10:06 PM,Sampling period 1,3,91,L,-1.4,1.4
2013/05/16,Thu,3:06 AM,Sampling period 1,4.4,134,H,4.1,4.1
2013/05/16,Thu,10:16 AM,Sampling period 1,0.3,9,L,-3.9,3.9
2013/05/16,Thu,5:30 PM,Sampling period 1,4.2,128,H,1.4,1.4
2013/05/16,Thu,11:16 PM,Sampling period 1,2.8,85,L,-1.3,1.3
2013/05/17,Fri,4:06 AM,Sampling period 1,4.1,125,H,3.5,3.5
2013/05/17,Fri,11:06 AM,Sampling period 1,0.6,18,L,-3.8,3.8
2013/05/17,Fri,6:14 PM,Sampling period 1,4.4,134,H,1.9,1.9
2013/05/18,Sat,12:23 AM,Sampling period 1,2.5,76,L,-1.3,1.3
2013/05/18,Sat,5:15 AM,Sampling period 1,3.8,116,H,3,3
2013/05/18,Sat,11:59 AM,Sampling period 1,0.8,24,L,-3.9,3.9
2013/05/18,Sat,6:55 PM,Sampling period 1,4.7,143,H,2.7,2.7
2013/05/19,Sun,1:22 AM,Sampling period 1,2,61,L,-1.7,1.7
2013/05/19,Sun,6:33 AM,Sampling period 1,3.7,113,H,2.6,2.6
2013/05/19,Sun,12:52 PM,Sampling period 1,1.1,34,L,-3.9,3.9
2013/05/19,Sun,7:33 PM,Sampling period 1,5,152,H,3.7,3.7
2013/05/20,Mon,2:13 AM,Sampling period 1,1.3,40,L,-2.4,2.4
2013/05/20,Mon,7:50 AM,Sampling period 1,3.7,113,H,2.4,2.4
2013/05/20,Mon,1:43 PM,Sampling period 1,1.3,40,L,-4,4
2013/05/20,Mon,8:11 PM,Sampling period 1,5.3,162,H,4.7,4.7
2013/05/21,Tue,2:59 AM,Sampling period 1,0.6,18,L,-3.2,3.2
2013/05/21,Tue,9:01 AM,Sampling period 1,3.8,116,H,2.2,2.2
2013/05/21,Tue,2:32 PM,Sampling period 1,1.6,49,L,-4.1,4.1
2013/05/21,Tue,8:49 PM,Sampling period 1,5.7,174,H,5.8,5.8
2013/05/22,Wed,3:43 AM,Sampling period 1,-0.1,-3,L,-4.2,4.2
2013/05/22,Wed,10:04 AM,Sampling period 1,4.1,125,H,2.3,2.3
2013/05/22,Wed,3:20 PM,Sampling period 1,1.8,55,L,-4.2,4.2
2013/05/22,Wed,9:29 PM,Sampling period 1,6,183,H,6.8,6.8
2013/05/23,Thu,4:28 AM,Sampling period 1,-0.8,-24,L,-5.1,5.1
2013/05/23,Thu,11:01 AM,Sampling period 1,4.3,131,H,2.3,2.3
2013/05/23,Thu,4:08 PM,Sampling period 1,2,61,L,-4.3,4.3
2013/05/23,Thu,10:11 PM,Sampling period 1,6.3,192,H,7.6,7.6
2013/05/24,Fri,5:12 AM,Sampling period 1,-1.3,-40,L,-5.8,5.8
2013/05/24,Fri,11:55 AM,Sampling period 1,4.5,137,H,2.4,2.4
2013/05/24,Fri,4:56 PM,Sampling period 1,2.1,64,L,-4.4,4.4
2013/05/24,Fri,10:54 PM,Sampling period 1,6.5,198,H,8.1,8.1
2013/05/25,Sat,5:59 AM,Sampling period 1,-1.6,-49,L,-6.2,6.2
2013/05/25,Sat,12:48 PM,Sampling period 1,4.6,140,H,2.3,2.3
2013/05/25,Sat,5:46 PM,Sampling period 1,2.3,70,L,-4.2,4.2
2013/05/25,Sat,11:41 PM,Sampling period 1,6.5,198,H,8.3,8.3
2013/05/26,Sun,6:46 AM,Sampling period 1,-1.8,-55,L,-6.5,6.5
2013/05/26,Sun,1:39 PM,Sampling period 1,4.7,143,H,2.3,2.3
2013/05/26,Sun,6:39 PM,Sampling period 1,2.4,73,L,-4,4
2013/05/27,Mon,12:30 AM,Sampling period 1,6.4,195,H,8.1,8.1
2013/05/27,Mon,7:35 AM,Sampling period 1,-1.7,-52,L,-6.5,6.5
2013/05/27,Mon,2:32 PM,Sampling period 1,4.8,146,H,2.4,2.4
2013/05/27,Mon,7:38 PM,Sampling period 1,2.4,73,L,-3.7,3.7
2013/05/28,Tue,1:23 AM,Sampling period 1,6.1,186,H,7.5,7.5
2013/05/28,Tue,8:26 AM,Sampling period 1,-1.4,-43,L,-6.3,6.3
2013/05/28,Tue,3:25 PM,Sampling period 1,4.9,149,H,2.5,2.5
2013/05/28,Tue,8:43 PM,Sampling period 1,2.4,73,L,-3.2,3.2
2013/05/29,Wed,2:20 AM,Sampling period 2,5.6,171,H,6.6,6.6
2013/05/29,Wed,9:20 AM,Sampling period 2,-1,-30,L,-6,6
2013/05/29,Wed,4:19 PM,Sampling period 2,5,152,H,2.7,2.7
2013/05/29,Wed,9:56 PM,Sampling period 2,2.3,70,L,-2.7,2.7
2013/05/30,Thu,3:23 AM,Sampling period 2,5,152,H,5.5,5.5
2013/05/30,Thu,10:15 AM,Sampling period 2,-0.5,-15,L,-5.6,5.6
2013/05/30,Thu,5:12 PM,Sampling period 2,5.1,155,H,3,3
2013/05/30,Thu,11:15 PM,Sampling period 2,2.1,64,L,-2.4,2.4
2013/05/31,Fri,4:34 AM,Sampling period 2,4.5,137,H,4.4,4.4
2013/05/31,Fri,11:11 AM,Sampling period 2,0.1,3,L,-5.2,5.2
2013/05/31,Fri,6:04 PM,Sampling period 2,5.3,162,H,3.6,3.6
2013/06/01,Sat,12:31 AM,Sampling period 2,1.7,52,L,-2.3,2.3
2013/06/01,Sat,5:53 AM,Sampling period 2,4,122,H,3.3,3.3
2013/06/01,Sat,12:08 PM,Sampling period 2,0.7,21,L,-4.8,4.8
2013/06/01,Sat,6:54 PM,Sampling period 2,5.5,168,H,4.4,4.4
2013/06/02,Sun,1:39 AM,Sampling period 2,1.1,34,L,-2.7,2.7
2013/06/02,Sun,7:17 AM,Sampling period 2,3.8,116,H,2.6,2.6
2013/06/02,Sun,1:05 PM,Sampling period 2,1.2,37,L,-4.4,4.4
2013/06/02,Sun,7:40 PM,Sampling period 2,5.6,171,H,5,5
2013/06/03,Mon,2:38 AM,Sampling period 2,0.6,18,L,-3.2,3.2
2013/06/03,Mon,8:35 AM,Sampling period 2,3.8,116,H,2.2,2.2
2013/06/03,Mon,1:58 PM,Sampling period 2,1.6,49,L,-4.1,4.1
2013/06/03,Mon,8:22 PM,Sampling period 2,5.7,174,H,5.5,5.5
2013/06/04,Tue,3:29 AM,Sampling period 2,0.2,6,L,-3.7,3.7
2013/06/04,Tue,9:43 AM,Sampling period 2,3.9,119,H,1.9,1.9
2013/06/04,Tue,2:49 PM,Sampling period 2,2,61,L,-3.8,3.8
2013/06/04,Tue,9:00 PM,Sampling period 2,5.8,177,H,6,6
2013/06/05,Wed,4:13 AM,Sampling period 2,-0.2,-6,L,-4.2,4.2
2013/06/05,Wed,10:40 AM,Sampling period 2,4,122,H,1.7,1.7
2013/06/05,Wed,3:36 PM,Sampling period 2,2.3,70,L,-3.5,3.5
2013/06/05,Wed,9:36 PM,Sampling period 2,5.8,177,H,6.2,6.2
2013/06/06,Thu,4:51 AM,Sampling period 2,-0.4,-12,L,-4.5,4.5
2013/06/06,Thu,11:30 AM,Sampling period 2,4.1,125,H,1.6,1.6
2013/06/06,Thu,4:21 PM,Sampling period 2,2.5,76,L,-3.2,3.2
2013/06/06,Thu,10:10 PM,Sampling period 2,5.7,174,H,6.2,6.2
2013/06/07,Fri,5:27 AM,Sampling period 2,-0.5,-15,L,-4.7,4.7
2013/06/07,Fri,12:15 PM,Sampling period 2,4.2,128,H,1.6,1.6
2013/06/07,Fri,5:02 PM,Sampling period 2,2.6,79,L,-3.1,3.1
2013/06/07,Fri,10:43 PM,Sampling period 2,5.7,174,H,6.3,6.3
2013/06/08,Sat,6:00 AM,Sampling period 2,-0.6,-18,L,-4.9,4.9
2013/06/08,Sat,12:55 PM,Sampling period 2,4.3,131,H,1.5,1.5
2013/06/08,Sat,5:43 PM,Sampling period 2,2.8,85,L,-2.8,2.8
2013/06/08,Sat,11:17 PM,Sampling period 2,5.6,171,H,6.2,6.2
2013/06/09,Sun,6:33 AM,Sampling period 2,-0.6,-18,L,-4.9,4.9
2013/06/09,Sun,1:32 PM,Sampling period 2,4.3,131,H,1.5,1.5
2013/06/09,Sun,6:22 PM,Sampling period 2,2.8,85,L,-2.7,2.7
2013/06/09,Sun,11:52 PM,Sampling period 2,5.5,168,H,6.1,6.1
2013/06/10,Mon,7:06 AM,Sampling period 2,-0.6,-18,L,-4.9,4.9
2013/06/10,Mon,2:08 PM,Sampling period 2,4.3,131,H,1.4,1.4
2013/06/10,Mon,7:03 PM,Sampling period 2,2.9,88,L,-2.4,2.4
2013/06/11,Tue,12:28 AM,Sampling period 2,5.3,162,H,5.7,5.7
2013/06/11,Tue,7:40 AM,Sampling period 2,-0.4,-12,L,-4.7,4.7
2013/06/11,Tue,2:44 PM,Sampling period 2,4.3,131,H,1.4,1.4
2013/06/11,Tue,7:46 PM,Sampling period 2,2.9,88,L,-2.2,2.2
2013/06/12,Wed,1:07 AM,Sampling period 2,5.1,155,H,5.4,5.4
2013/06/12,Wed,8:15 AM,Sampling period 2,-0.3,-9,L,-4.7,4.7
2013/06/12,Wed,3:20 PM,Sampling period 2,4.4,134,H,1.5,1.5
2013/06/12,Wed,8:34 PM,Sampling period 2,2.9,88,L,-1.9,1.9
2013/06/13,Thu,1:49 AM,Sampling period 3,4.8,146,H,4.8,4.8
2013/06/13,Thu,8:52 AM,Sampling period 3,0,0,L,-4.5,4.5
2013/06/13,Thu,3:57 PM,Sampling period 3,4.5,137,H,1.7,1.7
2013/06/13,Thu,9:29 PM,Sampling period 3,2.8,85,L,-1.6,1.6
2013/06/14,Fri,2:36 AM,Sampling period 3,4.4,134,H,4.1,4.1
2013/06/14,Fri,9:32 AM,Sampling period 3,0.3,9,L,-4.4,4.4
2013/06/14,Fri,4:35 PM,Sampling period 3,4.7,143,H,2.1,2.1
2013/06/14,Fri,10:31 PM,Sampling period 3,2.6,79,L,-1.5,1.5
2013/06/15,Sat,3:32 AM,Sampling period 3,4.1,125,H,3.5,3.5
2013/06/15,Sat,10:15 AM,Sampling period 3,0.6,18,L,-4.2,4.2
2013/06/15,Sat,5:15 PM,Sampling period 3,4.8,146,H,2.6,2.6
2013/06/15,Sat,11:36 PM,Sampling period 3,2.2,67,L,-1.5,1.5
2013/06/16,Sun,4:40 AM,Sampling period 3,3.7,113,H,2.7,2.7
2013/06/16,Sun,11:03 AM,Sampling period 3,1,30,L,-4.1,4.1
2013/06/16,Sun,5:56 PM,Sampling period 3,5.1,155,H,3.4,3.4
2013/06/17,Mon,12:39 AM,Sampling period 3,1.7,52,L,-1.8,1.8
2013/06/17,Mon,6:01 AM,Sampling period 3,3.5,107,H,2.1,2.1
2013/06/17,Mon,11:56 AM,Sampling period 3,1.4,43,L,-4,4
2013/06/17,Mon,6:38 PM,Sampling period 3,5.4,165,H,4.4,4.4
2013/06/18,Tue,1:37 AM,Sampling period 3,1,30,L,-2.4,2.4
2013/06/18,Tue,7:30 AM,Sampling period 3,3.4,104,H,1.6,1.6
2013/06/18,Tue,12:52 PM,Sampling period 3,1.8,55,L,-3.9,3.9
2013/06/18,Tue,7:22 PM,Sampling period 3,5.7,174,H,5.4,5.4
2013/06/19,Wed,2:30 AM,Sampling period 3,0.3,9,L,-3.3,3.3
2013/06/19,Wed,8:51 AM,Sampling period 3,3.6,110,H,1.5,1.5
2013/06/19,Wed,1:50 PM,Sampling period 3,2.1,64,L,-4,4
2013/06/19,Wed,8:08 PM,Sampling period 3,6.1,186,H,6.5,6.5
2013/06/20,Thu,3:21 AM,Sampling period 3,-0.4,-12,L,-4.3,4.3
2013/06/20,Thu,9:58 AM,Sampling period 3,3.9,119,H,1.6,1.6
2013/06/20,Thu,2:47 PM,Sampling period 3,2.3,70,L,-4.1,4.1
2013/06/20,Thu,8:56 PM,Sampling period 3,6.4,195,H,7.4,7.4
2013/06/21,Fri,4:09 AM,Sampling period 3,-1,-30,L,-5.2,5.2
2013/06/21,Fri,10:56 AM,Sampling period 3,4.2,128,H,1.8,1.8
2013/06/21,Fri,3:42 PM,Sampling period 3,2.4,73,L,-4.2,4.2
2013/06/21,Fri,9:45 PM,Sampling period 3,6.6,201,H,8,8
2013/06/22,Sat,4:57 AM,Sampling period 3,-1.4,-43,L,-5.9,5.9
2013/06/22,Sat,11:47 AM,Sampling period 3,4.5,137,H,2,2
2013/06/22,Sat,4:37 PM,Sampling period 3,2.5,76,L,-4.3,4.3
2013/06/22,Sat,10:35 PM,Sampling period 3,6.8,207,H,8.5,8.5
2013/06/23,Sun,5:44 AM,Sampling period 3,-1.7,-52,L,-6.5,6.5
2013/06/23,Sun,12:36 PM,Sampling period 3,4.8,146,H,2.4,2.4
2013/06/23,Sun,5:32 PM,Sampling period 3,2.4,73,L,-4.4,4.4
2013/06/23,Sun,11:25 PM,Sampling period 3,6.8,207,H,8.5,8.5
2013/06/24,Mon,6:31 AM,Sampling period 3,-1.7,-52,L,-6.7,6.7
2013/06/24,Mon,1:22 PM,Sampling period 3,5,152,H,2.6,2.6
2013/06/24,Mon,6:28 PM,Sampling period 3,2.4,73,L,-4.2,4.2
2013/06/25,Tue,12:17 AM,Sampling period 3,6.6,201,H,8.1,8.1
2013/06/25,Tue,7:18 AM,Sampling period 3,-1.5,-46,L,-6.6,6.6
2013/06/25,Tue,2:09 PM,Sampling period 3,5.1,155,H,2.8,2.8
2013/06/25,Tue,7:26 PM,Sampling period 3,2.3,70,L,-3.9,3.9
2013/06/26,Wed,1:11 AM,Sampling period 3,6.2,189,H,7.4,7.4
2013/06/26,Wed,8:06 AM,Sampling period 3,-1.2,-37,L,-6.5,6.5
2013/06/26,Wed,2:55 PM,Sampling period 3,5.3,162,H,3.1,3.1
2013/06/26,Wed,8:29 PM,Sampling period 3,2.2,67,L,-3.4,3.4
2013/06/27,Thu,2:07 AM,Sampling period 3,5.6,171,H,6.2,6.2
2013/06/27,Thu,8:54 AM,Sampling period 3,-0.6,-18,L,-6,6
2013/06/27,Thu,3:42 PM,Sampling period 3,5.4,165,H,3.4,3.4
2013/06/27,Thu,9:37 PM,Sampling period 3,2,61,L,-3,3
2013/06/28,Fri,3:08 AM,Sampling period 4,5,152,H,5,5
2013/06/28,Fri,9:43 AM,Sampling period 4,0,0,L,-5.5,5.5
2013/06/28,Fri,4:30 PM,Sampling period 4,5.5,168,H,3.7,3.7
2013/06/28,Fri,10:50 PM,Sampling period 4,1.8,55,L,-2.5,2.5
2013/06/29,Sat,4:16 AM,Sampling period 4,4.3,131,H,3.7,3.7
2013/06/29,Sat,10:35 AM,Sampling period 4,0.6,18,L,-5,5
2013/06/29,Sat,5:18 PM,Sampling period 4,5.6,171,H,4.2,4.2
2013/06/30,Sun,12:03 AM,Sampling period 4,1.4,43,L,-2.5,2.5
2013/06/30,Sun,5:36 AM,Sampling period 4,3.9,119,H,2.6,2.6
2013/06/30,Sun,11:29 AM,Sampling period 4,1.3,40,L,-4.4,4.4
2013/06/30,Sun,6:06 PM,Sampling period 4,5.7,174,H,4.6,4.6
2013/07/01,Mon,1:12 AM,Sampling period 4,1.1,34,L,-2.5,2.5
2013/07/01,Mon,7:04 AM,Sampling period 4,3.6,110,H,1.8,1.8
2013/07/01,Mon,12:27 PM,Sampling period 4,1.8,55,L,-3.9,3.9
2013/07/01,Mon,6:54 PM,Sampling period 4,5.7,174,H,5,5
2013/07/02,Tue,2:14 AM,Sampling period 4,0.7,21,L,-2.9,2.9
2013/07/02,Tue,8:27 AM,Sampling period 4,3.6,110,H,1.3,1.3
2013/07/02,Tue,1:25 PM,Sampling period 4,2.3,70,L,-3.4,3.4
2013/07/02,Tue,7:40 PM,Sampling period 4,5.7,174,H,5.4,5.4
2013/07/03,Wed,3:07 AM,Sampling period 4,0.3,9,L,-3.5,3.5
2013/07/03,Wed,9:36 AM,Sampling period 4,3.8,116,H,1.2,1.2
2013/07/03,Wed,2:21 PM,Sampling period 4,2.6,79,L,-3.2,3.2
2013/07/03,Wed,8:24 PM,Sampling period 4,5.8,177,H,5.8,5.8
2013/07/04,Thu,3:53 AM,Sampling period 4,0,0,L,-4,4
2013/07/04,Thu,10:32 AM,Sampling period 4,4,122,H,1.3,1.3
2013/07/04,Thu,3:13 PM,Sampling period 4,2.7,82,L,-3.1,3.1
2013/07/04,Thu,9:05 PM,Sampling period 4,5.8,177,H,6,6
2013/07/05,Fri,4:33 AM,Sampling period 4,-0.2,-6,L,-4.4,4.4
