Site,Date,Quadrat,BR %
TC,8/17/15,1,30
TC,8/17/15,3,70
TC,8/17/15,5,40
TC,8/17/15,7,20
TC,8/17/15,9,50
WP,8/18/15,6,45
WP,8/18/15,8,25
WP,8/18/15,10,70
