Buoy,#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
46213,2014,1,1,0,24,NA,NA,NA,2.23,15.38,11.51,280,NA,NA,11.1,NA,NA,NA
46213,2014,1,1,0,54,NA,NA,NA,2.02,14.29,10.89,288,NA,NA,11.1,NA,NA,NA
46213,2014,1,1,1,24,NA,NA,NA,1.97,13.33,10.57,277,NA,NA,11.1,NA,NA,NA
46213,2014,1,1,1,54,NA,NA,NA,2.24,12.5,10.86,287,NA,NA,11,NA,NA,NA
46213,2014,1,1,2,24,NA,NA,NA,2.12,15.38,10.48,284,NA,NA,10.9,NA,NA,NA
46213,2014,1,1,2,54,NA,NA,NA,2.1,14.29,10.04,277,NA,NA,10.9,NA,NA,NA
46213,2014,1,1,3,24,NA,NA,NA,2.25,14.29,10.12,285,NA,NA,10.8,NA,NA,NA
46213,2014,1,1,3,54,NA,NA,NA,1.96,15.38,9.44,284,NA,NA,10.7,NA,NA,NA
46213,2014,1,1,4,24,NA,NA,NA,2.13,14.29,10,270,NA,NA,10.6,NA,NA,NA
46213,2014,1,1,4,54,NA,NA,NA,2.03,14.29,9.79,281,NA,NA,10.4,NA,NA,NA
46213,2014,1,1,5,24,NA,NA,NA,2.11,14.29,9.73,277,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,5,54,NA,NA,NA,2.29,14.29,9.9,276,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,6,24,NA,NA,NA,2.11,14.29,9.79,277,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,6,54,NA,NA,NA,1.95,15.38,9.92,277,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,7,24,NA,NA,NA,2.04,14.29,9.97,285,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,7,54,NA,NA,NA,2.17,15.38,10.07,274,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,8,24,NA,NA,NA,2.07,14.29,9.46,285,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,8,54,NA,NA,NA,1.75,15.38,8.64,285,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,9,24,NA,NA,NA,2.02,14.29,9.3,283,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,9,54,NA,NA,NA,1.88,14.29,8.77,283,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,10,24,NA,NA,NA,1.91,14.29,9.25,280,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,10,54,NA,NA,NA,2.02,13.33,9.62,284,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,11,24,NA,NA,NA,1.94,12.5,9.87,292,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,11,54,NA,NA,NA,2.06,14.29,10.14,283,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,12,24,NA,NA,NA,1.93,12.5,9.63,280,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,12,54,NA,NA,NA,2.13,14.29,10.01,280,NA,NA,10.1,NA,NA,NA
46213,2014,1,1,13,24,NA,NA,NA,1.94,15.38,9.71,277,NA,NA,10.1,NA,NA,NA
46213,2014,1,1,13,54,NA,NA,NA,2.06,14.29,9.94,284,NA,NA,10.1,NA,NA,NA
46213,2014,1,1,14,24,NA,NA,NA,1.91,14.29,9.16,274,NA,NA,10.1,NA,NA,NA
46213,2014,1,1,14,54,NA,NA,NA,2,12.5,9.19,270,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,15,24,NA,NA,NA,1.73,14.29,8.82,285,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,15,54,NA,NA,NA,1.59,12.5,8.67,273,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,16,24,NA,NA,NA,1.9,14.29,10,281,NA,NA,10.2,NA,NA,NA
46213,2014,1,1,16,54,NA,NA,NA,1.83,14.29,9.92,281,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,17,24,NA,NA,NA,1.65,12.5,9.16,277,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,17,54,NA,NA,NA,1.62,14.29,9.5,281,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,18,24,NA,NA,NA,1.61,11.76,9.26,281,NA,NA,10.3,NA,NA,NA
46213,2014,1,1,18,54,NA,NA,NA,1.52,14.29,9.4,285,NA,NA,10.4,NA,NA,NA
46213,2014,1,1,19,24,NA,NA,NA,1.7,13.33,9.87,284,NA,NA,10.4,NA,NA,NA
46213,2014,1,1,19,54,NA,NA,NA,1.58,13.33,9.45,285,NA,NA,10.5,NA,NA,NA
46213,2014,1,1,20,24,NA,NA,NA,1.45,13.33,9.07,283,NA,NA,10.6,NA,NA,NA
46213,2014,1,1,20,54,NA,NA,NA,1.6,14.29,9.53,276,NA,NA,10.6,NA,NA,NA
46213,2014,1,1,21,24,NA,NA,NA,1.46,13.33,9.26,278,NA,NA,10.7,NA,NA,NA
46213,2014,1,1,21,54,NA,NA,NA,1.59,12.5,9.73,283,NA,NA,10.7,NA,NA,NA
46213,2014,1,1,22,24,NA,NA,NA,1.72,14.29,10.04,274,NA,NA,10.7,NA,NA,NA
46213,2014,1,1,22,54,NA,NA,NA,1.45,11.11,9.42,288,NA,NA,10.7,NA,NA,NA
46213,2014,1,1,23,24,NA,NA,NA,1.54,14.29,10.13,278,NA,NA,10.7,NA,NA,NA
46213,2014,1,1,23,54,NA,NA,NA,1.5,14.29,9.95,267,NA,NA,10.7,NA,NA,NA
46213,2014,1,2,0,24,NA,NA,NA,1.41,13.33,9.67,284,NA,NA,10.6,NA,NA,NA
46213,2014,1,2,0,54,NA,NA,NA,1.47,13.33,10.24,288,NA,NA,10.6,NA,NA,NA
46213,2014,1,2,1,24,NA,NA,NA,1.48,13.33,10.34,280,NA,NA,10.6,NA,NA,NA
46213,2014,1,2,1,54,NA,NA,NA,1.55,14.29,10.44,269,NA,NA,10.5,NA,NA,NA
46213,2014,1,2,2,24,NA,NA,NA,1.37,13.33,9.81,277,NA,NA,10.5,NA,NA,NA
46213,2014,1,2,2,54,NA,NA,NA,1.32,13.33,9.55,280,NA,NA,10.4,NA,NA,NA
46213,2014,1,2,3,24,NA,NA,NA,1.44,12.5,10.01,283,NA,NA,10.4,NA,NA,NA
46213,2014,1,2,3,54,NA,NA,NA,1.48,12.5,10.13,284,NA,NA,10.3,NA,NA,NA
46213,2014,1,2,4,24,NA,NA,NA,1.43,13.33,9.94,283,NA,NA,10.3,NA,NA,NA
46213,2014,1,2,4,54,NA,NA,NA,1.41,11.76,9.79,271,NA,NA,10.3,NA,NA,NA
46213,2014,1,2,5,24,NA,NA,NA,1.46,12.5,10.18,283,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,5,54,NA,NA,NA,1.17,13.33,9.41,285,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,6,24,NA,NA,NA,1.41,12.5,10.1,283,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,6,54,NA,NA,NA,1.29,13.33,9.44,298,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,7,24,NA,NA,NA,1.27,12.5,9.41,283,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,7,54,NA,NA,NA,1.32,11.76,9.18,283,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,8,24,NA,NA,NA,1.28,13.33,9.58,290,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,8,54,NA,NA,NA,1.18,13.33,9.13,281,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,9,24,NA,NA,NA,1.34,13.33,9.64,287,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,9,54,NA,NA,NA,1.23,13.33,9.51,283,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,10,24,NA,NA,NA,1.22,13.33,9.37,278,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,10,54,NA,NA,NA,1.31,13.33,10.05,270,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,11,24,NA,NA,NA,1.17,13.33,9.62,274,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,11,54,NA,NA,NA,1.25,11.76,9.61,278,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,12,24,NA,NA,NA,1.28,12.5,10.01,280,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,12,54,NA,NA,NA,1.25,13.33,9.97,273,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,13,24,NA,NA,NA,1.28,12.5,9.92,287,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,13,54,NA,NA,NA,1.21,13.33,9.47,277,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,14,24,NA,NA,NA,1.21,12.5,9.43,280,NA,NA,10.1,NA,NA,NA
46213,2014,1,2,14,54,NA,NA,NA,1.31,11.76,9.68,266,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,15,24,NA,NA,NA,1.32,13.33,9.7,274,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,15,54,NA,NA,NA,1.24,12.5,9.26,277,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,16,24,NA,NA,NA,1.27,12.5,9.5,274,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,16,54,NA,NA,NA,1.28,11.76,9.83,274,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,17,24,NA,NA,NA,1.13,11.76,9.34,277,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,17,54,NA,NA,NA,1.19,11.76,9.16,285,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,18,24,NA,NA,NA,1.21,12.5,9.25,274,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,18,54,NA,NA,NA,1.25,13.33,9.68,267,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,19,24,NA,NA,NA,1.23,12.5,9.42,274,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,19,54,NA,NA,NA,1.11,11.11,8.88,276,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,20,24,NA,NA,NA,1.29,11.76,9.58,278,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,20,54,NA,NA,NA,1.3,12.5,9.52,269,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,21,24,NA,NA,NA,1.21,11.76,9.72,281,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,21,54,NA,NA,NA,1.21,11.76,9.67,291,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,22,24,NA,NA,NA,1.19,11.76,9.85,260,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,22,54,NA,NA,NA,1.15,11.11,9.87,287,NA,NA,10.2,NA,NA,NA
46213,2014,1,2,23,24,NA,NA,NA,1.3,9.88,10.09,273,NA,NA,10.3,NA,NA,NA
46213,2014,1,2,23,54,NA,NA,NA,1.17,10.53,10.25,276,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,0,24,NA,NA,NA,1.19,11.76,9.88,280,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,0,54,NA,NA,NA,1.24,11.11,10.34,271,NA,NA,10.4,NA,NA,NA
46213,2014,1,3,1,24,NA,NA,NA,1.1,12.5,9.97,273,NA,NA,10.4,NA,NA,NA
46213,2014,1,3,1,54,NA,NA,NA,1.17,11.76,10.33,280,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,2,24,NA,NA,NA,1.29,11.11,10.17,267,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,2,54,NA,NA,NA,1.25,11.76,10.12,270,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,3,24,NA,NA,NA,1.34,15.38,10.01,292,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,3,54,NA,NA,NA,1.44,11.76,10.4,280,NA,NA,10.2,NA,NA,NA
46213,2014,1,3,4,24,NA,NA,NA,1.38,10.53,9.95,278,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,4,54,NA,NA,NA,1.39,11.11,9.75,269,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,5,24,NA,NA,NA,1.38,11.76,9.48,276,NA,NA,10,NA,NA,NA
46213,2014,1,3,5,54,NA,NA,NA,1.29,15.38,9.6,283,NA,NA,10,NA,NA,NA
46213,2014,1,3,6,24,NA,NA,NA,1.22,11.11,9.48,269,NA,NA,9.9,NA,NA,NA
46213,2014,1,3,6,54,NA,NA,NA,1.38,11.76,10.42,274,NA,NA,10,NA,NA,NA
46213,2014,1,3,7,24,NA,NA,NA,1.29,15.38,9.94,276,NA,NA,10,NA,NA,NA
46213,2014,1,3,7,54,NA,NA,NA,1.26,15.38,9.88,287,NA,NA,10,NA,NA,NA
46213,2014,1,3,8,24,NA,NA,NA,1.29,12.5,9.7,278,NA,NA,10,NA,NA,NA
46213,2014,1,3,8,54,NA,NA,NA,1.47,11.11,9.92,281,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,9,24,NA,NA,NA,1.44,11.11,10.19,274,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,9,54,NA,NA,NA,1.35,11.11,9.17,280,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,10,24,NA,NA,NA,1.38,15.38,9.61,291,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,10,54,NA,NA,NA,1.53,16.67,9.86,308,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,11,24,NA,NA,NA,1.51,15.38,9.75,307,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,11,54,NA,NA,NA,1.59,15.38,9.99,298,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,12,24,NA,NA,NA,1.55,16.67,10.1,308,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,12,54,NA,NA,NA,1.64,16.67,10.87,307,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,13,24,NA,NA,NA,1.74,16.67,10.87,309,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,13,54,NA,NA,NA,1.74,15.38,10.29,309,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,14,24,NA,NA,NA,1.78,15.38,9.81,309,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,14,54,NA,NA,NA,1.96,14.29,9.68,299,NA,NA,10.1,NA,NA,NA
46213,2014,1,3,15,24,NA,NA,NA,1.81,15.38,9.18,307,NA,NA,10.2,NA,NA,NA
46213,2014,1,3,15,54,NA,NA,NA,2.25,15.38,10.12,309,NA,NA,10.2,NA,NA,NA
46213,2014,1,3,16,24,NA,NA,NA,2.19,15.38,9.45,308,NA,NA,10.2,NA,NA,NA
46213,2014,1,3,16,54,NA,NA,NA,2.43,15.38,10.02,307,NA,NA,10.2,NA,NA,NA
46213,2014,1,3,17,24,NA,NA,NA,2.1,15.38,8.68,301,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,17,54,NA,NA,NA,2.15,15.38,9.57,299,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,18,24,NA,NA,NA,1.86,15.38,7.76,299,NA,NA,10.3,NA,NA,NA
46213,2014,1,3,18,54,NA,NA,NA,1.99,13.33,8.61,299,NA,NA,10.4,NA,NA,NA
46213,2014,1,3,19,24,NA,NA,NA,2.26,14.29,9.61,307,NA,NA,10.5,NA,NA,NA
