Row Labels,1,2,3,4,5,6,7,8,9,10,11,12
308,22,17,5,12,15,5,10,3,9,11,14,3
309,8,11,3,20,10,7,13,5,10,7,18,10
310,16,9,2,12,14,14,10,11,11,5,8,5
311,15,10,8,11,11,10,24,8,8,9,16,3
312,12,5,11,11,13,7,20,5,12,6,12,5
313,16,10,7,13,11,15,24,7,13,10,7,5
314,13,11,6,8,5,12,16,5,8,7,10,6
315,13,5,8,12,12,10,18,7,5,5,12,5
316,18,5,6,7,7,13,13,9,7,7,5,6
317,5,6,3,7,14,20,23,9,11,1,5,5
318,5,5,3,7,7,8,18,8,5,2,3,3
319,5,2,7,1,6,12,13,10,3,,4,11
320,8,,2,1,5,12,11,10,2,1,6,2
321,9,1,3,1,5,9,13,2,2,1,1,2
322,6,,4,4,4,13,7,7,1,3,3,2
323,,2,3,3,2,11,3,1,,1,4,2
324,1,,,,9,5,6,4,3,1,,
325,,,2,2,6,9,5,,,1,,2
326,,,,,5,9,4,,,,,1
327,1,,2,1,5,6,2,1,,,1,1
328,1,,,,2,4,5,,,1,,3
329,,,1,2,2,5,4,1,,,,1
330,,,,,5,4,2,,,,,2
331,,,,,2,4,1,,,1,,2
332,,,,,3,5,,,,1,,
333,1,,,,1,5,2,,,,,1
334,,,,,3,5,,,,,,
335,1,,,1,1,4,,,,,,
336,,,,,1,8,1,,,,,
337,,,,,,4,1,,,,,
338,,,,,1,9,1,,,,,1
339,,,,,1,3,,,,,,
340,,,,,1,,,,,,,
341,,,,,,4,,,,,,
343,,,,,,4,,,,,,3
344,,,,,,1,,,,,,3
345,,,,,,2,,,,,,
346,,,,,,2,,,,,,2
347,,,,,,2,,,,,,
,670,553,607,563,381,372,393,232,269,402,467,454
Grand Total,670,594,616,571,461,389,452,365,416,453,473,502
,,,,,,,,,,,,
,1,0.930976431,0.98538961,0.985989492,0.826464208,0.956298201,0.869469027,0.635616438,0.646634615,0.887417219,0.987315011,0.90438247
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,1941,0.867292225,,,,,,,
,,,,2238,,,,,,,135,Minimum wave dir
,,,,,,,,,87%,230-360,347,Max wave direction
,,,,,,,,,,,,
,,,,,,,,,13%,<230,,293
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,135-347,,,,,,,,,,
,,212,,,,,,,,,,
,,106,,,,,,,,,,
,,241,,,,,,,,,,
