Row Labels,Average of WDIR,Average of MWD,,,
5,301.65,283.0964286,,,876
6,290.1420205,300.7604457,,,292
7,256.8281461,293.7701613,,,
8,270.5175676,278.2166891,,,
9,261.8432203,268.7855153,,,
10,269.8091922,276.1469003,,,
11,240.3167883,288.2461538,,,
12,183.3448873,276.5854643,,,
(blank),,,,,
Grand Total,259.372045,283.1687489,,,
