Row Labels,1,2,3,4,5,6,7,8,9,10,11,12
337,2,,11,18,6,,67,55,34,5,4,12
339,6,1,7,11,8,2,86,54,40,9,5,15
340,7,,11,5,7,,61,53,21,5,2,15
342,3,,9,3,1,,58,37,21,2,,6
343,,,7,3,,,59,31,16,6,,5
344,4,,6,3,1,,49,21,19,2,1,4
346,,,6,3,,,36,15,12,1,,3
347,3,,5,,,,46,12,12,1,,1
349,5,,3,2,,,35,6,6,1,,
350,3,,8,,,,18,1,5,,,
352,2,,,,,,22,1,4,,,
353,,,,,,,8,,3,,,
354,3,,2,,,,10,,2,,,
356,2,,2,,,,13,,1,,,
357,,,,,,,5,,,,,
359,3,,,,,,1,,1,,,
Sum (>230,1433,1243,1253,1229,415,141,1354,1145,1015,1244,1397,1239
Grand Total,1435,1309,1366,1238,436,197,1467,1453,1422,1468,1426,1466
,0.998606272,0.949579832,0.91727672,0.99273021,0.951834862,0.715736041,0.922972052,0.788024776,0.713783404,0.847411444,0.979663394,0.845156889
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,4284,,,90%,>230,,,,
,,,,4791,0.894176581,,10%,<230,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,141-3,,,,,,,
,,,,,222,,,,,,,
,,,,,252,,,,,,,
