Buoy,#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
46214,2014,1,1,0,26,NA,NA,NA,2.09,14.29,11.59,284,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,0,56,NA,NA,NA,1.95,15.38,11.44,281,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,1,26,NA,NA,NA,1.96,15.38,11.32,290,NA,NA,11,NA,NA,NA
46214,2014,1,1,1,56,NA,NA,NA,1.93,14.29,11.14,291,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,2,26,NA,NA,NA,1.8,13.33,11.05,291,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,2,56,NA,NA,NA,1.66,15.38,10.91,288,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,3,26,NA,NA,NA,1.79,13.33,10.94,294,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,3,56,NA,NA,NA,1.89,13.33,10.97,294,NA,NA,11,NA,NA,NA
46214,2014,1,1,4,26,NA,NA,NA,1.81,13.33,10.59,304,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,4,56,NA,NA,NA,1.76,14.29,10.67,288,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,5,26,NA,NA,NA,2.17,13.33,11.38,299,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,5,56,NA,NA,NA,2.18,15.38,11.51,291,NA,NA,10.9,NA,NA,NA
46214,2014,1,1,6,26,NA,NA,NA,1.98,14.29,10.75,297,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,6,56,NA,NA,NA,1.83,13.33,10.3,285,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,7,26,NA,NA,NA,1.97,14.29,10.44,292,NA,NA,11.2,NA,NA,NA
46214,2014,1,1,7,56,NA,NA,NA,2.25,15.38,11.26,288,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,8,26,NA,NA,NA,1.74,15.38,9.76,278,NA,NA,11.3,NA,NA,NA
46214,2014,1,1,8,56,NA,NA,NA,1.89,13.33,9.79,290,NA,NA,11.3,NA,NA,NA
46214,2014,1,1,9,26,NA,NA,NA,2.09,15.38,10.25,284,NA,NA,11.4,NA,NA,NA
46214,2014,1,1,9,56,NA,NA,NA,2.05,15.38,9.97,295,NA,NA,11.4,NA,NA,NA
46214,2014,1,1,10,26,NA,NA,NA,2.05,15.38,9.51,285,NA,NA,11.5,NA,NA,NA
46214,2014,1,1,10,56,NA,NA,NA,1.98,15.38,9.29,285,NA,NA,11.6,NA,NA,NA
46214,2014,1,1,11,26,NA,NA,NA,1.93,13.33,8.9,290,NA,NA,11.6,NA,NA,NA
46214,2014,1,1,11,56,NA,NA,NA,1.88,13.33,8.6,283,NA,NA,11.6,NA,NA,NA
46214,2014,1,1,12,26,NA,NA,NA,1.8,14.29,8.85,291,NA,NA,11.6,NA,NA,NA
46214,2014,1,1,12,56,NA,NA,NA,1.99,14.29,9.23,281,NA,NA,11.4,NA,NA,NA
46214,2014,1,1,13,26,NA,NA,NA,1.9,15.38,9.31,285,NA,NA,11.4,NA,NA,NA
46214,2014,1,1,13,56,NA,NA,NA,2.01,14.29,9.6,291,NA,NA,11.5,NA,NA,NA
46214,2014,1,1,14,26,NA,NA,NA,1.9,14.29,9.42,288,NA,NA,11.6,NA,NA,NA
46214,2014,1,1,14,56,NA,NA,NA,2.01,14.29,9.68,285,NA,NA,11.8,NA,NA,NA
46214,2014,1,1,15,26,NA,NA,NA,2.08,14.29,9.96,280,NA,NA,11.8,NA,NA,NA
46214,2014,1,1,15,56,NA,NA,NA,2.03,14.29,9.68,290,NA,NA,11.9,NA,NA,NA
46214,2014,1,1,16,26,NA,NA,NA,1.89,14.29,9.35,285,NA,NA,11.9,NA,NA,NA
46214,2014,1,1,16,56,NA,NA,NA,1.91,13.33,9.56,290,NA,NA,11.9,NA,NA,NA
46214,2014,1,1,17,26,NA,NA,NA,2,14.29,9.98,290,NA,NA,12,NA,NA,NA
46214,2014,1,1,17,56,NA,NA,NA,2.03,12.5,9.9,291,NA,NA,12.1,NA,NA,NA
46214,2014,1,1,18,26,NA,NA,NA,1.68,14.29,9.24,299,NA,NA,12.5,NA,NA,NA
46214,2014,1,1,18,56,NA,NA,NA,1.95,14.29,10.23,284,NA,NA,12.5,NA,NA,NA
46214,2014,1,1,19,26,NA,NA,NA,1.83,13.33,9.81,288,NA,NA,12.5,NA,NA,NA
46214,2014,1,1,19,56,NA,NA,NA,2.03,13.33,10.34,283,NA,NA,12.5,NA,NA,NA
46214,2014,1,1,20,26,NA,NA,NA,1.8,13.33,10.13,290,NA,NA,12.5,NA,NA,NA
46214,2014,1,1,20,56,NA,NA,NA,1.71,12.5,9.82,292,NA,NA,12.2,NA,NA,NA
46214,2014,1,1,21,26,NA,NA,NA,1.81,13.33,9.66,291,NA,NA,12.2,NA,NA,NA
46214,2014,1,1,21,56,NA,NA,NA,1.78,13.33,9.6,273,NA,NA,11.8,NA,NA,NA
46214,2014,1,1,22,26,NA,NA,NA,1.81,14.29,9.65,274,NA,NA,11.7,NA,NA,NA
46214,2014,1,1,22,56,NA,NA,NA,1.53,12.5,8.46,276,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,23,26,NA,NA,NA,1.78,14.29,9.2,280,NA,NA,11.1,NA,NA,NA
46214,2014,1,1,23,56,NA,NA,NA,1.72,14.29,9.18,280,NA,NA,11.1,NA,NA,NA
46214,2014,1,2,0,26,NA,NA,NA,1.59,14.29,8.53,288,NA,NA,11.1,NA,NA,NA
46214,2014,1,2,0,56,NA,NA,NA,1.88,13.33,9.3,285,NA,NA,11.1,NA,NA,NA
46214,2014,1,2,1,26,NA,NA,NA,1.75,14.29,9.15,294,NA,NA,11.1,NA,NA,NA
46214,2014,1,2,1,56,NA,NA,NA,1.78,13.33,9.34,285,NA,NA,11.2,NA,NA,NA
46214,2014,1,2,2,26,NA,NA,NA,1.76,13.33,9.67,290,NA,NA,11.2,NA,NA,NA
46214,2014,1,2,2,56,NA,NA,NA,1.72,11.76,9.46,292,NA,NA,11.2,NA,NA,NA
46214,2014,1,2,3,26,NA,NA,NA,1.81,14.29,9.81,283,NA,NA,11.2,NA,NA,NA
46214,2014,1,2,3,56,NA,NA,NA,1.54,14.29,8.93,294,NA,NA,11.2,NA,NA,NA
