Buoy,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
46026,2013,12,31,23,50,NA,6.8,8.1,1.52,13.79,7.79,292,NA,10.5,NA,NA,NA,NA
46026,2014,1,1,0,50,NA,6.8,8.1,1.48,14.81,7.9,262,NA,10.4,NA,NA,NA,NA
46026,2014,1,1,1,50,NA,7.2,8,1.65,16,8.02,263,NA,10.4,NA,NA,NA,NA
46026,2014,1,1,2,50,NA,6.6,7.7,1.43,14.81,7.73,265,NA,10.4,NA,NA,NA,NA
46026,2014,1,1,3,50,NA,6.4,7.5,1.54,13.79,8.04,277,NA,10.4,NA,NA,NA,NA
46026,2014,1,1,4,50,NA,6.5,7.8,1.82,14.81,8.89,260,NA,10.4,NA,NA,NA,NA
46026,2014,1,1,5,50,NA,5.3,6.4,1.66,14.81,8.63,261,NA,10.6,NA,NA,NA,NA
46026,2014,1,1,6,50,NA,6.2,7.6,1.52,13.79,8.56,275,NA,10.6,NA,NA,NA,NA
46026,2014,1,1,7,50,NA,5.4,6.5,1.33,14.81,7.69,296,NA,10.6,NA,NA,NA,NA
46026,2014,1,1,8,50,NA,5.2,6.2,1.46,14.81,8.74,263,NA,10.6,NA,NA,NA,NA
46026,2014,1,1,9,50,NA,4.8,5.6,1.5,13.79,9.15,270,NA,10.6,NA,NA,NA,NA
46026,2014,1,1,10,50,NA,3.7,4.4,1.52,14.81,9.33,264,NA,10.5,NA,NA,NA,NA
46026,2014,1,1,11,50,NA,3.3,3.8,1.7,13.79,9.47,271,NA,9.2,NA,NA,NA,NA
46026,2014,1,1,12,50,NA,2.2,2.8,1.59,14.81,9.5,273,NA,8.6,NA,NA,NA,NA
46026,2014,1,1,13,50,NA,2.4,3.3,1.39,14.81,9.16,269,NA,8.6,NA,NA,NA,NA
46026,2014,1,1,14,50,NA,1,2.1,1.59,13.79,9.52,296,NA,8,NA,NA,NA,NA
46026,2014,1,1,15,50,NA,2.3,3.2,1.62,13.79,9.01,278,NA,7.9,NA,NA,NA,NA
46026,2014,1,1,16,50,NA,1.4,2.6,1.63,13.79,8.86,278,NA,8.2,NA,NA,NA,NA
46026,2014,1,1,17,50,NA,2.3,3.1,1.54,14.81,9.26,274,NA,7.9,NA,NA,NA,NA
46026,2014,1,1,18,50,NA,1.2,1.8,1.55,13.79,8.94,272,NA,8.6,NA,NA,NA,NA
