Row Labels,Average of Slope,Average of Intercept
AC,99.39,-650.17
AP,85.55,-523.03
CB,99.39,-650.17
FB,70.94,-367.29
HC,111.49,-822.99
KC,63.08,-400.18
MB,70.94,-367.29
MK,111.49,-822.99
PP,113.37,-822.94
PSG,98.81,-640.95
TC,63.08,-400.18
WP,70.94,-367.29
(blank),,
Grand Total,89.4037931,-582.4554023
