"","Var1","Var2","Freq"
"2","Males.All","Females.All",0.924940941533817
"4","Ovigerous","Females.All",0.796117487779264
"6","X.10cm2..course.sand","Females.All",-0.638146050937203
"8","bare.cobble...2cm.","Females.All",0.564025162757706
"13","s57mm","Females.All",0.707788028572571
"14","s810mm","Females.All",0.972838581301324
"15","s1113mm","Females.All",0.696996425368314
"16","s1416mm","Females.All",0.576674599148187
"17","s1720mm","Females.All",-0.327063281323914
"18","ALL","Females.All",0.62274121817046
"20","MaleFemales","Females.All",0.984687732861623
"21","FemaleProp","Females.All",0.738754886154323
"22","MaleProp","Females.All",-0.738754886154323
"23","Propss1to3mmcombined","Females.All",-0.371785680713594
"24","Proprecruits3mm","Females.All",-0.404374377725669
"27","Props810mm","Females.All",0.491878083326609
"30","Props1720mm","Females.All",-0.311102044945727
"31","LiveableRocks","Females.All",0.526593686228155
"33","NonliveableRocks","Females.All",-0.364219701594066
"36","Size.1","Females.All",0.679391628796377
"37","Size.2","Females.All",0.71341505320462
"38","Surfzone.size..m.","Females.All",0.728053265989958
"44","m.to.nearest.pt","Females.All",-0.341398672104864
"45","m.to.land.in.300dir","Females.All",0.407764383496656
"50","Slope.average","Females.All",0.606347446222703
"51","Slope.min","Females.All",0.420297379461932
"52","Slope.Max","Females.All",0.65353303354198
"53","Coastline.hab.angle","Females.All",-0.533093108252359
"54","Females.All","Males.All",0.924940941533817
"57","Ovigerous","Males.All",0.705307171476505
"59","X.10cm2..course.sand","Males.All",-0.534572642333718
"61","bare.cobble...2cm.","Males.All",0.632238658106133
"66","s57mm","Males.All",0.684440456069403
"67","s810mm","Males.All",0.979319846147795
"68","s1113mm","Males.All",0.60917832436932
"69","s1416mm","Males.All",0.480206577591451
"71","ALL","Males.All",0.526970072896564
"73","MaleFemales","Males.All",0.977041762852973
"74","FemaleProp","Males.All",0.5239669447
"75","MaleProp","Males.All",-0.5239669447
"76","Propss1to3mmcombined","Males.All",-0.430997998724146
"77","Proprecruits3mm","Males.All",-0.437284332913114
"79","Props57mm","Males.All",0.343694966279963
"80","Props810mm","Males.All",0.579604823869918
"84","LiveableRocks","Males.All",0.551805274108519
"86","NonliveableRocks","Males.All",-0.396802329571476
"87","CobbleCourseSand","Males.All",0.40664186612301
"89","Size.1","Males.All",0.679888782108334
"90","Size.2","Males.All",0.69909443227144
"91","Surfzone.size..m.","Males.All",0.575070322819149
"97","m.to.nearest.pt","Males.All",-0.417506822229865
"103","Slope.average","Males.All",0.516549096507977
"105","Slope.Max","Males.All",0.632368117421176
"106","Coastline.hab.angle","Males.All",-0.440032068067779
"110","Ovigerous","No.Sex.All",-0.342776445697566
"111","X50cm2.10cm2","No.Sex.All",-0.336927027390303
"116","rocky.bench","No.Sex.All",0.44544658598794
"117","recruits3mm","No.Sex.All",0.919954539644876
"118","s35mm","No.Sex.All",0.884096316376045
"119","s57mm","No.Sex.All",0.557738656354304
"121","s1113mm","No.Sex.All",-0.388777930234837
"122","s1416mm","No.Sex.All",-0.448656209034272
"123","s1720mm","No.Sex.All",-0.4024967900794
"124","ALL","No.Sex.All",0.779424658438522
"125","s1to3mmcombined","No.Sex.All",0.967404592519943
"127","FemaleProp","No.Sex.All",0.303590951931874
"128","MaleProp","No.Sex.All",-0.303590951931874
"129","Propss1to3mmcombined","No.Sex.All",0.786718253147474
"130","Proprecruits3mm","No.Sex.All",0.68542808868805
"131","Props35mm","No.Sex.All",0.693592698004429
"133","Props810mm","No.Sex.All",-0.706428609322656
"134","Props1113mm","No.Sex.All",-0.632587193527544
"135","Props1416mm","No.Sex.All",-0.633639776078649
"136","Props1720mm","No.Sex.All",-0.398164107268981
"137","LiveableRocks","No.Sex.All",-0.341369491215323
"138","IdealLiveableRocks","No.Sex.All",-0.336927027390303
"139","NonliveableRocks","No.Sex.All",0.50079338599215
"141","OvigFemale","No.Sex.All",-0.539465218711519
"142","Size.1","No.Sex.All",-0.33906326140226
"143","Size.2","No.Sex.All",-0.36532414759584
"144","Surfzone.size..m.","No.Sex.All",0.31205286444226
"153","percent.in.range.2013","No.Sex.All",0.33979506173291
"154","Difference.from.300.Northery.heading","No.Sex.All",-0.521897953754696
"156","Slope.average","No.Sex.All",-0.308126526383127
"157","Slope.min","No.Sex.All",-0.331522334423498
"160","Females.All","Ovigerous",0.796117487779264
"161","Males.All","Ovigerous",0.705307171476505
"162","No.Sex.All","Ovigerous",-0.342776445697566
"164","X50cm2.10cm2","Ovigerous",0.567267844476598
"165","X.10cm2..course.sand","Ovigerous",-0.624859103800045
"167","bare.cobble...2cm.","Ovigerous",0.38880113593555
"170","recruits3mm","Ovigerous",-0.478819650749626
"173","s810mm","Ovigerous",0.733589420746914
"174","s1113mm","Ovigerous",0.865874264583074
"175","s1416mm","Ovigerous",0.809320577694366
"178","s1to3mmcombined","Ovigerous",-0.446117960968175
"179","MaleFemales","Ovigerous",0.769684830247228
"180","FemaleProp","Ovigerous",0.515613445164751
"181","MaleProp","Ovigerous",-0.515613445164751
"182","Propss1to3mmcombined","Ovigerous",-0.504376291720767
"183","Proprecruits3mm","Ovigerous",-0.498077072035365
"186","Props810mm","Ovigerous",0.536338373292176
"187","Props1113mm","Ovigerous",0.312806321103629
"188","Props1416mm","Ovigerous",0.311908650983731
"190","LiveableRocks","Ovigerous",0.617597053497778
"191","IdealLiveableRocks","Ovigerous",0.567267844476598
"192","NonliveableRocks","Ovigerous",-0.593835898719381
"194","OvigFemale","Ovigerous",0.727687472781221
"195","Size.1","Ovigerous",0.889850754938641
"196","Size.2","Ovigerous",0.881521110283981
"197","Surfzone.size..m.","Ovigerous",0.382148597054131
"202","Heading.minus.coast","Ovigerous",0.411012895421694
"203","m.to.nearest.pt","Ovigerous",-0.310691097776566
"206","percent.in.range.2013","Ovigerous",-0.361388173438621
"209","Slope.average","Ovigerous",0.437484918150674
"210","Slope.min","Ovigerous",0.355257999266459
"211","Slope.Max","Ovigerous",0.406076644830969
"215","No.Sex.All","X50cm2.10cm2",-0.336927027390303
"216","Ovigerous","X50cm2.10cm2",0.567267844476598
"218","X.10cm2..course.sand","X50cm2.10cm2",-0.4714244285498
"219","cemented.rock.1m2.10cm2","X50cm2.10cm2",-0.44052261742544
"224","s35mm","X50cm2.10cm2",-0.422827273339446
"225","s57mm","X50cm2.10cm2",-0.318149488746281
"227","s1113mm","X50cm2.10cm2",0.759955203530113
"228","s1416mm","X50cm2.10cm2",0.618176148978837
"237","Props35mm","X50cm2.10cm2",-0.579745586758843
"238","Props57mm","X50cm2.10cm2",-0.688647611622489
"240","Props1113mm","X50cm2.10cm2",0.689798957929283
"241","Props1416mm","X50cm2.10cm2",0.555860044454018
"242","Props1720mm","X50cm2.10cm2",0.439525225703725
"243","LiveableRocks","X50cm2.10cm2",0.480798969516082
"245","NonliveableRocks","X50cm2.10cm2",-0.525887002125487
"246","CobbleCourseSand","X50cm2.10cm2",-0.410850874491313
"247","OvigFemale","X50cm2.10cm2",0.729159997752354
"248","Size.1","X50cm2.10cm2",0.474332349608546
"249","Size.2","X50cm2.10cm2",0.474719455257784
"251","Size.of.opening","X50cm2.10cm2",-0.384284920331013
"254","Heading.S","X50cm2.10cm2",-0.507381080539466
"255","Heading.minus.coast","X50cm2.10cm2",0.582083321819558
"259","percent.in.range.2013","X50cm2.10cm2",-0.504579778805364
"261","Total.degrees.opening","X50cm2.10cm2",0.383926728924385
"263","Slope.min","X50cm2.10cm2",0.408498486866536
"266","Females.All","X.10cm2..course.sand",-0.638146050937203
"267","Males.All","X.10cm2..course.sand",-0.534572642333718
"269","Ovigerous","X.10cm2..course.sand",-0.624859103800045
"270","X50cm2.10cm2","X.10cm2..course.sand",-0.4714244285498
"272","cemented.rock.1m2.10cm2","X.10cm2..course.sand",0.467552853734427
"274","bare.sand..fine.very.course.sand.","X.10cm2..course.sand",0.332014658905672
"275","rocky.bench","X.10cm2..course.sand",-0.400449186657471
"279","s810mm","X.10cm2..course.sand",-0.600178109579148
"280","s1113mm","X.10cm2..course.sand",-0.581660214259567
"281","s1416mm","X.10cm2..course.sand",-0.431932579646417
"285","MaleFemales","X.10cm2..course.sand",-0.602840874262792
"288","Propss1to3mmcombined","X.10cm2..course.sand",0.399170323748049
"289","Proprecruits3mm","X.10cm2..course.sand",0.387097039638255
"292","Props810mm","X.10cm2..course.sand",-0.538241144812078
"297","IdealLiveableRocks","X.10cm2..course.sand",-0.4714244285498
"301","Size.1","X.10cm2..course.sand",-0.572372936432078
"302","Size.2","X.10cm2..course.sand",-0.60969840044493
"303","Surfzone.size..m.","X.10cm2..course.sand",-0.389089460577642
"306","Heading.N","X.10cm2..course.sand",-0.444558997143065
"310","m.to.land.in.300dir","X.10cm2..course.sand",-0.6533521987546
"311","percentage.of.MWD.within.range.2014","X.10cm2..course.sand",-0.552824349455464
"314","Total.degrees.opening","X.10cm2..course.sand",-0.559427893742333
"315","Slope.average","X.10cm2..course.sand",-0.60390463990391
"316","Slope.min","X.10cm2..course.sand",-0.587314529928339
"317","Slope.Max","X.10cm2..course.sand",-0.579123624523429
"318","Coastline.hab.angle","X.10cm2..course.sand",0.312799725321091
"323","X50cm2.10cm2","cemented.rock.1m2.10cm2",-0.44052261742544
"324","X.10cm2..course.sand","cemented.rock.1m2.10cm2",0.467552853734427
"328","rocky.bench","cemented.rock.1m2.10cm2",-0.902672127047204
"329","recruits3mm","cemented.rock.1m2.10cm2",-0.300104860704242
"337","s1to3mmcombined","cemented.rock.1m2.10cm2",-0.305831922266193
"341","Propss1to3mmcombined","cemented.rock.1m2.10cm2",-0.316016163499702
"344","Props57mm","cemented.rock.1m2.10cm2",0.462210948889899
"345","Props810mm","cemented.rock.1m2.10cm2",0.408088479833582
"350","IdealLiveableRocks","cemented.rock.1m2.10cm2",-0.44052261742544
"352","CobbleCourseSand","cemented.rock.1m2.10cm2",0.340708606904793
"360","Heading.S","cemented.rock.1m2.10cm2",0.501447061384935
"361","Heading.minus.coast","cemented.rock.1m2.10cm2",-0.36351440491145
"362","m.to.nearest.pt","cemented.rock.1m2.10cm2",-0.442750461961505
"363","m.to.land.in.300dir","cemented.rock.1m2.10cm2",-0.344734877280548
"364","percentage.of.MWD.within.range.2014","cemented.rock.1m2.10cm2",-0.495118655647807
