Site,Date,Chl a (inside end or north),Chl a,Chl a (ocean end or south),Wave time,wave time,wave time
Cape Mendocino,4/13/13,57.85,45.56,31.39,72.84,61.22,65
Noyo Harbor,4/14/13,29.37,29.42,14.31,38.4,31.44,33
Arena Cove,4/15/13,46.59,34.93,35.84,42.78,44.19,33.75
Pacifica,4/5/13,27.28,20.96,17.97,15,15,20
