Site,Year,QualityHabitat,X1kmcoastlineangle
AC,2013,35,320
AP,2013,41.5,302
TC,2013,52.35714286,306
PC,2013,54.57142857,395
FB,2013,55.92857143,360
FB,2014,20.16666667,360
AC,2014,21.66666667,320
AP,2014,27.58333333,302
CB,2014,27.7,391
MK,2014,29.5,393
WP,2014,33.5,311
TC,2014,34,306
MB,2014,36,353
HC,2014,38,302
PP,2014,43.125,367
PSG,2014,44,327
KC,2014,46,332
