Site,Average embryos per 0.5m2,Average embryos per m2
AC,208.7968493,835.1873973
AP,106.0259494,424.1037975
FB,223.6644872,894.6579487
PC,761.7977778,3047.191111
TC,378.8493333,1515.397333
